Symonds Street West,170,210,"1,400","2,450","3,170","3,400"
Takanini Central,60,510,"1,180","1,130","1,230","1,210"
Takanini Industrial,70,60,50,70,50,30
Takanini North,"1,240","1,640","1,960","2,090","2,640","2,720"
Takanini South,220,250,620,"1,590","4,770","6,480"
Takanini South East,860,860,940,"1,070","1,550","2,440"
Takanini West,"1,570","1,700","2,000","2,600","3,090","3,250"
Takapuna Central,"1,750","1,930","2,120","2,350","2,500","2,640"
Takapuna South,"1,530","1,460","1,510","1,510","1,520","1,520"
Takapuna West,"3,220","3,290","3,590","4,290","4,740","5,130"
Tamaki,"3,770","3,980","4,170","4,140","4,520","4,800"
Te Atatu Peninsula Central,"2,810","2,890","3,000","3,100","3,490","3,690"
Te Atatu Peninsula East,"1,180","1,610","2,930","3,060","3,050","2,990"
Te Atatu Peninsula North West,"2,750","2,850","2,920","3,180","3,410","3,510"
Te Atatu Peninsula West,"3,240","3,410","3,370","3,790","3,930","3,980"
Te Atatu South-Central,"3,570","3,790","3,940","4,080","4,500","4,620"
Te Atatu South-Edmonton,"2,920","3,060","3,350","3,650","3,930","4,020"
Te Atatu South-McLeod North,"1,980","2,150","2,490","3,240","3,520","3,710"
Te Atatu South-McLeod South,"2,890","3,110","3,250","3,590","4,010","4,100"
Te Papapa,"2,780","3,000","3,060","3,220","3,400","3,410"
The Gardens,"1,230","1,910","3,220","3,650","4,090","4,140"
The Strand,150,530,"1,250","1,570","1,460","1,400"
Three Kings East,840,870,"1,350","1,350","1,440","1,410"
Three Kings West,"2,000","2,080","2,120","2,160","2,400","2,460"
Titirangi South,"3,640","3,660","3,770","3,950","4,160","4,170"
Torbay,"3,570","3,860","4,140","4,240","4,470","4,600"
Totara Heights,"2,170","2,310","2,530","2,480","2,890","3,150"
Totara Vale North,"2,600","2,820","3,070","3,110","3,390","3,480"
Totara Vale South,"3,190","3,260","3,610","3,790","4,110","4,190"
Tuscany Heights,380,570,870,"1,210","1,520","1,760"
Unsworth Heights East,"2,880","3,310","3,350","3,370","3,780","3,920"
Unsworth Heights West,710,"1,680","2,200","2,450","2,460","2,450"
Victoria Park,90,560,"1,120","1,460","2,270","3,140"
Waiake,"3,590","3,610","3,790","3,890","4,040","4,090"
Waikowhai North,"2,840","3,070","3,400","3,410","3,620","3,700"
Waikowhai South,"1,420","1,590","1,740","1,860","2,160","2,210"
Waima-Woodlands Park,"2,430","2,500","2,560","2,670","2,740","2,750"
Wairau Valley,100,110,110,180,220,230
Waterview,"3,040","3,250","3,550","3,460","3,560","3,720"
Wattle Downs East,"1,090","1,890","2,140","2,140","2,310","2,290"
Wattle Downs North,"2,250","2,270","2,290","2,290","2,590","2,680"
Wattle Downs West,"1,490","1,600","2,750","3,440","3,940","3,970"
Wesley East,"1,830","1,980","2,100","2,210","2,300","2,320"
Wesley South,60,50,50,50,70,70
Wesley West,"2,980","3,230","3,340","3,440","3,660","3,690"
Western Heights,"2,080","2,700","3,560","4,080","4,720","4,790"
Westgate Central,80,90,90,80,40,40
Westgate South,690,920,"1,360","1,640","1,870","2,320"
