Suburb,Population,latitude,longitude
Forrest Hill West,"4,290",-36.76568396877179,174.74812074415198
Freemans Bay,"4,600",-36.85287929799995,174.75035326400007
Fruitvale,"3,200",-36.91227288605349,174.66736738561698
Glamorgan,"3,490",-36.70460086333124,174.73056124596496
Glenavon,"3,200",-37.044267371687724,174.88948035679482
Glendene North,"5,100",-36.88799829517008,174.65155695377956
Glendene South,"3,100",-36.88799829517008,174.65155695377956
Glendowie North,"4,520",-36.8492904971437,174.87624508925475
Glendowie South,"4,750",-36.8492904971437,174.87624508925475
Glen Eden Central,"4,040",-36.91321281199998,174.6436004950001
Glen Eden North,"2,690",-36.91321281199998,174.6436004950001
Glen Eden Rosier,"3,810",-36.91321281199998,174.6436004950001
Glen Eden West,"4,030",-36.91321281199998,174.6436004950001
Glen Eden Woodglen,"4,490",-36.91321281199998,174.6436004950001
Glenfield Central,"4,390",-36.801237644491984,174.72460132341354
Glenfield East,"2,540",-36.801237644491984,174.72460132341354
Glenfield North,"3,740",-36.801237644491984,174.72460132341354
Glenfield South West,"4,380",-36.801237644491984,174.72460132341354
Glenfield West,"3,300",-36.801237644491984,174.72460132341354
Glen Innes East - Wai O Taiki Bay,"3,770",-36.868199999999945,174.8701900000001
Glen Innes West,"5,050",-36.87394120099998,174.86095625600012
Golflands,"2,600",-36.92307999999997,174.90947000000006
Goodwood Heights,"4,760",-36.99377275799998,174.89719260100003
Grafton,"1,700",-36.85329999999993,174.77975000000004
Grange,"2,630",-36.78311999999994,174.77375000000006
Green Bay North,"1,950",-36.89124232936565,174.76626123053836
Green Bay South,"3,080",-36.89124232936565,174.76626123053836
Greenhithe East,"3,300",-36.77199928487981,174.68143247820433
Greenhithe South,"2,150",-36.77199928487981,174.68143247820433
Greenhithe West,"3,600",-36.77199928487981,174.68143247820433
Greenlane North,"4,620",-36.89124232936565,174.76626123053836
Greenlane South,"3,920",-36.89124232936565,174.76626123053836
Grey Lynn Central,"3,790",-36.861568621999936,174.73955514300008
Grey Lynn East,"2,050",-36.861568621999936,174.73955514300008
Grey Lynn North,"3,170",-36.861568621999936,174.73955514300008
Grey Lynn West,"3,340",-36.861568621999936,174.73955514300008
Half Moon Bay North East,"2,290",-36.878199999999936,174.89019000000008
Half Moon Bay South East,"3,380",-36.878199999999936,174.89019000000008
Half Moon Bay West,"2,950",-36.885656930888764,174.90127690885117
Harania North,"4,050",-36.95139985101235,174.80919746257612
Harania South,"3,680",-36.95139985101235,174.80919746257612
Hauraki,"4,360",-36.84988999999996,174.77719000000002
Henderson Central,"1,430",-36.920054210002874,174.8051477930861
Henderson East,"3,100",-36.920054210002874,174.8051477930861
Henderson Larnoch,"4,580",-36.87972217599997,174.6229459660001
Henderson Lincoln East,150,-36.87972217599997,174.6229459660001
Henderson Lincoln South,"2,790",-36.87972217599997,174.6229459660001
Henderson Lincoln West,"3,550",-36.87972217599997,174.6229459660001
Henderson North,"4,310",-36.920054210002874,174.8051477930861
Henderson North East,"2,850",-36.920054210002874,174.8051477930861
Henderson Valley Park,"2,120",-36.89578999999998,174.61634000000004
Herne Bay,"3,110",-36.83819999999997,174.72019000000012
Highland Park,"4,850",-36.90208560999997,174.91056750000007
Hillcrest East,"4,190",-36.91567500296254,174.68796930330797
Hillcrest North,"3,690",-36.91567500296254,174.68796930330797
Hillcrest West,"3,500",-36.91567500296254,174.68796930330797
Hillpark North,"2,690",-36.89319996018577,174.93135510707805
Hillpark South,"3,760",-36.89319996018577,174.93135510707805
Hillsborough East,"2,670",-36.925579346524515,174.75142069723879
Hillsborough North,"4,040",-36.925579346524515,174.75142069723879
Hillsborough South,"2,900",-36.925579346524515,174.75142069723879
Hillsborough West,"3,890",-36.925579346524515,174.75142069723879
Hilltop,"4,050",-36.98539280785003,174.90352482423742
Hingaia,"2,500",-37.08632496049922,174.90756005742938
Hobson Ridge Central,"4,200",-36.84933849063783,174.76106578581653
Hobson Ridge North,"2,620",-36.84933849063783,174.76106578581653
Hobson Ridge South,"2,170",-36.84933849063783,174.76106578581653
Hobsonville,"1,300",-36.799999999999955,174.66667000000007
Hobsonville Point,"6,970",-36.79169003544914,174.66232069545708
Homai East,"3,910",-36.8736499463551,174.80729007386012
Homai West,"5,540",-36.8736499463551,174.80729007386012
Howick Central,"3,630",-36.883329999999944,174.93333000000007
Howick East,"3,860",-36.883329999999944,174.93333000000007
Howick West,"4,330",-36.883329999999944,174.93333000000007
Huntington Park,"1,960",-36.93136167399996,174.90666198400004
Karaka Lakes,"2,650",-36.30818999999997,174.0301800000001
Karangahape,"2,540",-38.78822999999994,175.8002100000001
Kaurilands,"3,280",-36.92163996719383,174.6480300997487
Kelston North,"3,000",-36.90124060679935,174.67465971037186
Kelston South,"2,800",-36.90124060679935,174.67465971037186
